photo_ID,photo_owner,latitude,longitude
31844786302,48068176@N06,40.760347,-73.952056
31152610414,48068176@N06,40.760377,-73.952009
31183434893,55716304@N05,40.735307,-73.991289
31152558864,55716304@N05,40.735307,-73.991289
31152558714,55716304@N05,40.737770,-73.990226
31875853021,11504096@N08,40.863639,-73.881631
31875846421,11504096@N08,40.863639,-73.881631
31992734935,11504096@N08,40.863639,-73.881631
31183225313,11504096@N08,40.863639,-73.881631
31844561412,11504096@N08,40.863639,-73.881631
31955411806,11504096@N08,40.863639,-73.881631
31875802221,11504096@N08,40.863639,-73.881631
31955388486,11504096@N08,40.863639,-73.881631
31152311324,11504096@N08,40.863639,-73.881631
31875776901,11504096@N08,40.863639,-73.881631
31992641555,11504096@N08,40.863639,-73.881631
31992629615,11504096@N08,40.863639,-73.881631
31844480672,11504096@N08,40.863639,-73.881631
31992611395,11504096@N08,40.863639,-73.881631
31152227484,11504096@N08,40.863639,-73.881631
31152218424,11504096@N08,40.863639,-73.881631
31992552215,11504096@N08,40.863639,-73.881631
31955229806,11504096@N08,40.863639,-73.881631
31618603170,11504096@N08,40.863639,-73.881631
31955206886,11504096@N08,40.863639,-73.881631
31152144924,11504096@N08,40.863639,-73.881631
31183011433,11504096@N08,40.863639,-73.881631
31955172176,11504096@N08,40.863639,-73.881631
31844306202,11504096@N08,40.863639,-73.881631
31875573311,11504096@N08,40.863639,-73.881631
31152088674,11504096@N08,40.863639,-73.881631
31875523771,11504096@N08,40.863639,-73.881631
31875509891,11504096@N08,40.863639,-73.881631
31844226242,11504096@N08,40.863639,-73.881631
31992343305,11504096@N08,40.863639,-73.881631
31955046766,11504096@N08,40.863639,-73.881631
31875441191,11504096@N08,40.863639,-73.881631
31618405870,11504096@N08,40.863639,-73.881631
31844152052,11504096@N08,40.863639,-73.881631
31844140292,11504096@N08,40.863639,-73.881631
31844131622,11504096@N08,40.863639,-73.881631
31992250445,11504096@N08,40.863639,-73.881631
31992238195,11504096@N08,40.863639,-73.881631
31151914684,11504096@N08,40.863639,-73.881631
31875344351,11504096@N08,40.863639,-73.881631
31992214005,11504096@N08,40.863639,-73.881631
31875322911,11504096@N08,40.863639,-73.881631
31954922636,11504096@N08,40.863639,-73.881631
31618307290,11504096@N08,40.863639,-73.881631
31618293630,11504096@N08,40.863639,-73.881631
31992143285,11504096@N08,40.863639,-73.881631
31992132905,11504096@N08,40.863639,-73.881631
31618269870,11504096@N08,40.863639,-73.881631
31182693773,11504096@N08,40.863639,-73.881631
31843962842,11504096@N08,40.863639,-73.881631
31843952312,11504096@N08,40.863639,-73.881631
31875214011,11504096@N08,40.863639,-73.881631
31875194651,11504096@N08,40.863639,-73.881631
31843892302,11504096@N08,40.863639,-73.881631
31182610043,11504096@N08,40.863639,-73.881631
31992004265,11504096@N08,40.863639,-73.881631
31843836702,11504096@N08,40.863639,-73.881631
31991956205,11504096@N08,40.863639,-73.881631
31182545523,11504096@N08,40.863639,-73.881631
31843804212,11504096@N08,40.863639,-73.881631
31991931505,11504096@N08,40.863639,-73.881631
31151633564,11504096@N08,40.863639,-73.881631
31875081741,11504096@N08,40.863639,-73.881631
31843756742,11504096@N08,40.863639,-73.881631
31843741692,11504096@N08,40.863639,-73.881631
31954657566,11504096@N08,40.863639,-73.881631
31843716212,11504096@N08,40.863639,-73.881631
31843705302,11504096@N08,40.863639,-73.881631
31151549444,11504096@N08,40.863639,-73.881631
31617962120,11504096@N08,40.863639,-73.881631
31954613076,11504096@N08,40.863639,-73.881631
31617933180,11504096@N08,40.863639,-73.881631
31874920181,11504096@N08,40.863639,-73.881631
31182414393,11504096@N08,40.863639,-73.881631
31617897940,11504096@N08,40.863639,-73.881631
31954564566,11504096@N08,40.863639,-73.881631
31874875881,11504096@N08,40.863639,-73.881631
31182397493,11504096@N08,40.863639,-73.881631
31991765255,11504096@N08,40.863639,-73.881631
31182354563,11504096@N08,40.863639,-73.881631
31617843460,11504096@N08,40.863639,-73.881631
31843578632,11504096@N08,40.863639,-73.881631
31843566772,11504096@N08,40.863639,-73.881631
31617819170,11504096@N08,40.863639,-73.881631
31151388124,11504096@N08,40.863639,-73.881631
31991708965,11504096@N08,40.863639,-73.881631
31182232323,11504096@N08,40.863639,-73.881631
31874760301,11504096@N08,40.863639,-73.881631
31617751930,11504096@N08,40.863639,-73.881631
31991652095,11504096@N08,40.863639,-73.881631
31843484222,11504096@N08,40.863639,-73.881631
31991631395,11504096@N08,40.863639,-73.881631
31991621225,11504096@N08,40.863639,-73.881631
31874703361,11504096@N08,40.863639,-73.881631
31182159953,11504096@N08,40.863639,-73.881631
31151288884,11504096@N08,40.863639,-73.881631
31843429142,11504096@N08,40.863639,-73.881631
31182115343,11504096@N08,40.863639,-73.881631
31617602800,11504096@N08,40.863639,-73.881631
31954313156,11504096@N08,40.863639,-73.881631
31843371182,11504096@N08,40.863639,-73.881631
31954293996,11504096@N08,40.863639,-73.881631
31954286146,11504096@N08,40.863639,-73.881631
31991483005,11504096@N08,40.863639,-73.881631
31954263796,11504096@N08,40.863639,-73.881631
31182008923,11504096@N08,40.863639,-73.881631
31151136994,11504096@N08,40.863639,-73.881631
31991419315,11504096@N08,40.863639,-73.881631
31617481370,11504096@N08,40.863639,-73.881631
31991390685,11504096@N08,40.863639,-73.881631
31843236462,11504096@N08,40.863639,-73.881631
31874449681,11504096@N08,40.863639,-73.881631
31617427230,11504096@N08,40.863639,-73.881631
31843201362,11504096@N08,40.863639,-73.881631
31843193172,11504096@N08,40.863639,-73.881631
31181851673,11504096@N08,40.863639,-73.881631
31617365640,11504096@N08,40.863639,-73.881631
31874387841,11504096@N08,40.863639,-73.881631
31843130592,11504096@N08,40.863639,-73.881631
31991269565,11504096@N08,40.863639,-73.881631
31617323070,11504096@N08,40.863639,-73.881631
31874339561,11504096@N08,40.863639,-73.881631
31954011596,11504096@N08,40.863639,-73.881631
31843087532,11504096@N08,40.863639,-73.881631
31618725800,11572204@N00,40.678627,-74.011917
31955339166,66430340@N07,40.683166,-73.973750
31992289135,39790687@N05,40.842320,-73.945455
31992286795,39790687@N05,40.842320,-73.945455
31992285115,39790687@N05,40.848488,-73.946142
31875308901,66159648@N00,40.758622,-73.980492
31151874494,66159648@N00,40.758727,-73.979806
31151874284,66159648@N00,40.758505,-73.981759
31875308311,66159648@N00,40.758147,-73.982720
31151874124,66159648@N00,40.755413,-73.983306
31182764523,66159648@N00,40.749113,-73.988395
31182764203,66159648@N00,40.748872,-73.988114
31182763843,66159648@N00,40.749416,-73.988403
31843903602,67093054@N00,40.726913,-73.984009
31875069881,127152175@N04,40.744566,-73.978220
31954685996,127152175@N04,40.744513,-73.978325
31874991831,67093054@N00,40.726913,-73.984009
31617967360,67093054@N00,40.726913,-73.984009
31874969631,67093054@N00,40.726913,-73.984009
31954489686,67093054@N00,40.726913,-73.984009
31874694971,67093054@N00,40.726913,-73.984009
31151208794,66430340@N07,40.683166,-73.973750
31954095496,71640857@N07,40.708149,-74.011459
31874403411,66430340@N07,40.683166,-73.973750
31150772594,25387061@N06,40.763630,-73.982370
31181565553,30047235@N03,40.749614,-74.002661
31953745856,66430340@N07,40.683166,-73.973750
31842660282,29309920@N03,40.740502,-73.989518
31842633452,98491166@N03,40.741980,-74.001250
31150342904,34869895@N06,40.669174,-73.963153
31616813680,30047235@N03,40.750491,-74.004657
31873748911,66430340@N07,40.683166,-73.973750
31873564901,48889060482@N01,40.819294,-73.911873
31873552211,48889060482@N01,40.819294,-73.911873
31952910956,38998307@N05,40.654775,-73.774652
31952910836,38998307@N05,40.656778,-73.783171
31952906926,38998307@N05,40.644633,-73.779287
31180891633,35430600@N06,40.759061,-73.985214
31180883853,35430600@N06,40.702430,-74.017384
31150037614,35430600@N06,40.706755,-74.011717
31953142596,35430600@N06,40.779255,-73.963439
31990236355,35430600@N06,40.710433,-74.008884
31842107052,35430600@N06,40.711775,-74.012112
31953109406,35430600@N06,40.710786,-74.012862
31616380150,35430600@N06,40.710866,-74.013134
